phl_icd10,tdrg_icd10
M8080/0,M8080
O283,O283
J150,J150
M8930/3,M8930
M8010/,M8010
C79802,C798
Q120,Q120
C180,C180
I8501,I850
Q042,Q042
D686,D686
T939,T939
T253,T253
D232,D232
Z924,Z924
J01,J019
J13,J13
R160,R160
Z035,Z035
M064,M064
C506,C506
G458,G458
M119,M119
C22,C229
S6280,S6280
S274,S274
S2080,S208
S309,S309
M9070/3,M9070
M1091,M1091
Z920,Z920
S62302,S6230
S42402,S42402
S276,S276
M8441/0,M8441
T918,T918
S131,S131
B068,B068
F171,F171
H3501,H350
G521,G521
H2529,H252
H2622,H262
H4029,H402
D464,D464
S3100,S310
S91301,S913
M7998,M7998
Z303,Z303
N8880,N888
S3240,S3240
Z867,Z867
Z935,Z935
G590,G590
S22301,S2230
S9100,S910
J311,J311
S52801,S5280
K72,K729
P835,P835
M8000/60,M8000
Z903,Z903
D059,D059
H622,H622
S0132,S013
H6102,H610
H911,H911
S8281,S8281
M519,M519
B022,B022
G530,G530
L239,L239
J442,J442
Q011,Q011
S272,S272
D162,D162
M9200/0,M920
P611,P611
O881,O881
I690,I690
M549,M549
C570,C570
E048,E048
I412,I412
S82301,S82301
S3600,S3600
S22400,S2240
O642,O642
S52101,S52101
H6630,H663
Q220,Q220
T636,T636
T223,T223
M8940/0,M8940
M9131/0,M913
M8021/3,M8021
N871,N871
M8440/0,M8440
M8020/0,M8020
Q521,Q521
N768,N768
S52201,S52201
S3610,S3610
K379,K37
N251,N251
S670,S670
M771,M771
S6543,S654
M233,M233
C794,C794
M8448,M8448
Q3599,Q359
M6789,M6789
M2176,M2176
B343,B343
B008,B008
S02402,S02402
Z033,Z033
F132,F132
I708,I708
S5101,S510
K048,K048
S063,S063
E138,E138
M1008,M1008
P570,P570
M9500/6,M950
M169,M169
S5221,S5221
O480,O48
P0510,P051
Q1200,Q120
H614,H614
N069,N069
Q219,Q219
S52600,S5260
C966,C966
M855,M855
Q898,Q898
S6021,S602
Z890,Z890
F41,F419
S680,S680
M6594,M6594
M6530,M6530
S62300,S6230
I772,I772
T010,T010
S8291,S8291
N01,N019
K028,K028
T231,T231
M810,M810
S722,S722
J0190,J019
B449,B449
J1111,J111
C619,C61
S409,S409
D102,D102
D100,D100
O028,O028
N86,N86
A498,A498
F011,F011
T861,T861
M5327,M5327
M5324,M5324
Z3701,Z370
S764,S764
Q523,Q523
E113491,E113
H401120,H401
H40062,H400
M5418,M5418
S72101,S72101
I151,I151
H448,H448
T849,T849
S922,S922
C68,C689
H60549,H605
H61899,H618
J0689,J068
D119,D119
M4802,M4802
O01,O019
S82401,S8240
S82311,S82311
C7900,C790
G969,G969
D150,D150
C866,C866
E11621,E116
H11061,H110
L88,L88
H712,H71
H1791,H179
H0252,H025
J900,J90
D241,D24
M8145/3,M8145
H0240,H024
C381,C381
O033,O033
O10,O109
G519,G519
C791,C791
T792,T792
C693,C693
T850,T850
B957,B957
H2710,H271
H4050,H405
H023,H023
O3240820,O324
C65,C65
R2230,R223
M6780,M6780
C051,C051
Q658,Q658
D733,D733
K430,K430
M51,M519
S3501,S350
N851,N851
O3420821,O342
K920,K920
Z8631,Z863
O037,O037
Q355,Q355
O6400821,O640
Q353,Q353
K148,K148
C829,C829
M80000/3,M8000
J949,J949
H11,H119
K27,K279
T111,T111
G9009,G900
H1030,H103
I4891,I48
D50,D509
A164,A164
S02111,S0211
N322,N322
A096,A09
M8010/2,M8010
M775,M775
N2010,N201
Z9070,Z907
O0010,O001
S630,S630
H188,H188
M773,M773
S568,S568
T211,T211
O755,O755
M651,M651
T191,T191
O900,O900
M4316,M4316
M768,M768
I010,I010
H4331,H433
B162,B162
B018,B018
S7280,S7280
Q382,Q382
Z861,Z861
O632,O632
K91,K919
S898,S898
B373,B373
S112,S112
C549,C549
H0205,H020
H5902,H590
N853,N853
S831,S831
S830,S830
S134,S134
B083,B083
S21201,S212
M0080,M0080
I71,I719
S0083,S008
K70,K709
S92311,S92311
O872,O872
I2510,I251
R2241,R224
H905,H905
Q505,Q505
N835,N835
Q269,Q269
S52010,S52010
L609,L609
O1021,O102
G30,G309
J06,J069
Z833,Z833
B439,B439
P290,P290
A202,A202
N2890,N289
N2891,N289
E1480,E148
S0510,S051
P350,P350
Z711,Z711
N341,N341
M358,M358
M79821,M7982
S70,S709
S42209,S42209
A093,A09
J1801,J180
S9111,S911
B650,B650
C796,C796
S4181,S418
M5437,M5437
J013,J013
E791,E791
M4794,M4794
D442,D442
H2620,H262
E511,E511
R770,R770
S52510,S52510
M9540/0,M954
H019,H019
C772,C772
M8558,M8558
Z082,Z082
Z092,Z092
M8910/3,M8910
M8901/3,M8901
H598,H598
H2580,H258
A179,A179
S9231,S9231
Z966,Z966
S5990,S599
S5991,S599
H1131,H113
T888,T888
S6271,S6271
M8802/3,M880
M1986,M198
H613,H613
G531,G531
H6591,H659
G822,G822
Z916,Z916
L0890,L089
L0892,L089
S8192,S819
R2291,R229
L0891,L089
O602,O602
J156,J156
M3010,M301
S82100,S82100
N471,N47
Z500,Z500
N2000,N200
T391,T391
S5012,S501
S8012,S801
H010,H010
M1397,M1397
S0090,S009
N848,N848
S92710,S9271
B649,B64
E1151,E115
T875,T875
Z894,Z894
S62511,S6251
L971,L97
S9291,S9291
M19960,M199
D2410,D24
E233,E233
T791,T791
T2201,T220
T2101,T210
L0230,L023
A46,A46
L9790,L97
L8915,L891
O811,O811
J178,J178
K1379,K1379
M8784,M8784
N810,N810
O754,O754
L042,L042
T823,T823
S033,S033
G968,G968
Z377,Z377
H66,H669
G990,G990
M6027,M6027
S080,S080
T143,T143
N883,N883
K745,K745
O401,O40
C104,C104
O400,O40
S7220,S7220
M5127,M512
S72143,S721
N6320,N63
K309,K30
L709,L709
S608,S608
I50,I509
N7092,N709
S02602,S02602
S8090,S809
S5080,S5080
S3080,S308
S597,S597
E0410,E041
O715,O715
B963,B963
K7030,K703
H731,H731
C7881,C788
C090,C090
O658,O658
I254,I254
E288,E288
O982,O982
A198,A198
Z911,Z911
J324,J324
N641,N641
O41,O419
S39,S399
O665,O665
K58,K589
O983,O983
N608,N608
N280,N280
T19,T199
E0500,E050
G511,G511
J9811,J981
J3481,J348
G250,G250
G522,G522
A085,A085
G238,G238
B951,B951
J18,J189
N129,N12
H1091,H109
S709,S709
B961,B961
E722,E722
D1722,D172
S80,S809
S9081,S9081
B663,B663
M1007,M1007
I651,I651
T018,T018
L8990,L899
H2181,H218
H2180,H218
H460,H46
C091,C091
M8330/0,M8330
H2642,H264
S59999,S599
R876,R876
D11,D119
K63,K639
M530,M530
M2320,M2320
M932,M932
B2093,B209
M54360,M5436
M71260,M7126
L0302,L030
M2154,M2154
H4682,H46
H2091,H209
H3552,H355
T304,T304
B211,B211
M6543,M6543
H611,H611
M9310/0,M931
C323,C323
M1398,M1398
K068,K068
H2621,H262
H2506,H250
D350,D350
D17,D179
C83,C839
R060,R060
O75,O759
S662,S662
E0520,E052
O36,O369
S89,S899
S8252,S825
R32,R32
M8410/3,M8410
C179,C179
M895/0,M895
Z3700620,Z370
Z3700831,Z370
Z370040,Z370
O8290620,O829
J3392,J339
J901,J90
D4870,D487
H3580,H358
B249,B24
O360,O360
M9071/3,M9071
Q054,Q054
Q795,Q795
